textgroup;context;source;language;plural;translation
default;;"%email is an invalid e-mail address.";nl;0;"Het e-mailadres %email is niet geldig."
default;;"%theme is now the default theme.";de;0;"%theme ist jetzt das Standard-Theme."
default;;"%theme is now the default theme.";fr;0;"%theme est désormais le thème par défaut."
default;;"%theme is now the default theme.";nl;0;"%theme is nu het standaard theme."
default;;"%theme is the default theme and cannot be disabled.";de;0;"%theme ist das Standard-Theme und kann nicht deaktiviert werden."
default;;"%theme is the default theme and cannot be disabled.";fr;0;"%theme est le thème par défaut et il ne peut pas être désactivé."
default;;"%theme is the default theme and cannot be disabled.";nl;0;"%theme is het standaard theme en kan niet uitgeschakeld worden."
default;;"%title could not be created.";nl;0;"%title kon niet aangemaakt worden."
default;;"%title could not be updated.";nl;0;"%title kon niet geüpdatet worden."
default;;"%title has been created.";nl;0;"%title werd aangemaakt."
default;;"%title has been updated.";nl;0;"%title is geüpdatet."
default;;"%value is not a valid email address.";nl;0;"het opgegeven e-mailadres %value is ongeldig."
default;;"(Fields below will be displayed on a new page)";nl;0;"(Velden hieronder zullen op een nieuwe pagina getoond worden.)"
default;;(Theme);de;0;(Theme)
default;;(Theme);fr;0;(Thème)
default;;(Theme);nl;0;(Theme)
default;;(cropped);nl;0;(bijgesneden)
default;;"(responsible person)";nl;0;(verantwoordelijke)
default;;"- Any -";nl;0;"- Alle -"
default;;"- Choose -";nl;0;"- Maak een keuze -"
default;;"- Choose an operation -";nl;0;"- Kies een actie -"
default;;"- None -";nl;0;"- Geen -"
default;;"- Select -";nl;0;"- Selecteer -"
default;;"...and <strong>!count</strong> more.";nl;0;"...en <strong>!count</strong> anderen."
default;;"1 minute";fr;0;"1 minute"
default;;"1 minute";nl;0;"1 minuut"
default;;"1 result";fr;0;"1 résultat"
default;;"1 result";nl;0;"1 resultaat"
default;;"10 minute";fr;0;"10 minutes"
default;;"10 minute";nl;0;"10 minuten"
default;;"12-hour (am/pm)";nl;0;"12-uur (am/pm)"
default;;"15 minute";nl;0;"15 minuten"
default;;24-hour;nl;0;24-uur
default;;"30 minute";nl;0;"30 minuten"
default;;"403 (access denied) page";nl;0;"403 pagina (geen toegang)"
default;;"404 (not found) page";nl;0;"404 pagina (niet gevonden)"
default;;"5 minute";nl;0;"5 minuten"
default;;"< Pick a collection >";fr;0;"< Choisissez une collection >"
default;;"< Pick a collection >";nl;0;"< Kies een pane collection >"
default;;"< Previous";nl;0;"< Vorige"
default;;"< Previous Page";nl;0;"< Vorige pagina"
default;;"< Previous difference";nl;0;"< Vorige aanpassing"
default;;"< Untagged >";nl;0;"< Niet getagd >"
default;;"<a href=""!url"">View your previous submissions</a>.";nl;0;"<a href=""!url"">Bekijk uw eerdere inzendingen</a>."
default;;"<a href=""http://www.kanooh.be"">Kañooh</a><span class=""info-text""> helps the Flemish government building websites that are easy to manage.</span>";nl;0;"<a href=""http://www.kanooh.be"">Kañooh</a><span class=""info-text""> helpt de Vlaamse overheid websites bouwen die gemakkelijk te beheren zijn.</span>"
default;;"<a href=""http://www.kanooh.be"">kañooh</a><span class=""info-text""> helps the Flemish government building websites that are easy to manage.</span>";nl;0;"<a href=""http://www.kanooh.be"">kañooh</a><span class=""info-text""> helpt de Vlaamse overheid websites bouwen die gemakkelijk te beheren zijn.</span>"
default;;"<em>Edit @type</em> @title";nl;0;"<em>Wijzig @type</em> @title"
default;;"<h2>Your search yielded no results.</h2>
<ul>
<li>Check if your spelling is correct.</li>
<li>Remove quotes around phrases to search for each word individually. <em>bike shed</em> will often show more results than <em>&quot;bike shed&quot;</em>.</li>
<li>Use fewer keywords to increase the number of results.</li>
</ul>";nl;0;"<h2>Je zoekactie gaf geen resultaten.</h2> <ul> <li>Bekijk of de spelling juist is.</li> <li>Verwijder aanhalingstekens rond zinnen of zinsdelen om op elk woord individueel te zoeken. <em>slot voor fiets</em> zal vaak meer resultaten geven dan <em>&quot;slot voor fiets&quot;</em>.</li> <li>Gebruik minder zoekwoorden om meer resultaten te krijgen.</li> </ul>
"
default;;"<span class=""visuallyhidden"">Create</span> Menu";fr;0;"<span class=""visuallyhidden"">créer</span>"
default;;"<span class=""visuallyhidden"">Create</span> Menu";nl;0;"<span class=""visuallyhidden"">maken</span>"
default;;"<span class=""visuallyhidden"">Create</span> Menu Item";nl;0;"Menu Item <span class=""visuallyhidden"">maken</span>"
default;;"<span class=""visuallyhidden"">Edit</span> Menu";fr;0;"<span class=""visuallyhidden"">modifier</span>"
default;;"<span class=""visuallyhidden"">Edit</span> Menu";nl;0;"<span class=""visuallyhidden"">bewerken</span> "
default;;"<strong>@count</strong> result found";nl;0;"<strong>@count</strong> resultaat gevonden"
default;;"<strong>@count</strong> results found";nl;0;"<strong>@count</strong> resultaten gevonden"
default;;"<strong>@language_name</strong> (source)";nl;0;"<strong>@language_name</strong> (bron)"
default;;"<strong>Key-value pairs MUST be specified as ""safe_key|Some readable option""</strong>. Use of only alphanumeric characters and underscores is recommended in keys. One option per line. Option groups may be specified with &lt;Group Name&gt;. &lt;&gt; can be used to insert items at the root of the menu after specifying a group.";nl;0;"<strong>Sleutel-waarde paren MOETEN gespecificeerd worden als 'veilige_sleutel|Een leesbare optie'</strong>. Het gebruik van enkel alfanumerieke tekens en onderstrepingstekens is aanbevolen bij sleutels. Eén optie per regel. Gegroepeerde opties kunnen worden gespecificeerd met &lt;Groepsnaam&gt;. &lt;&gt; kan gebruikt worden om items aan het begin van het menu toe te voegen, nadat een groep gespecificeerd is."
default;;"<ul>
<li>Check if your spelling is correct.</li>
<li>Remove quotes around phrases to search for each word individually. <em>bike shed</em> will often show more results than <em>&quot;bike shed&quot;</em>.</li>
<li>Use fewer keywords to increase the number of results.</li>
</ul>";nl;0;"<ul><li>Kijk na of de spelling juist is.</li> <li>Verwijder aanhalingstekens.</li> <li>Gebruik minder zoekwoorden om het aantal resultaten te verhogen.</li> </ul>"
default;;"@count hours";nl;0;"@count uur"
default;;"@count new since @date";nl;0;"@count nieuwe sinds @date"
default;;"@count results";fr;0;"@count résultats"
default;;"@count results";nl;0;"@count resultaten"
default;;"@count total";nl;0;"@count totaal"
default;;"@count votes";nl;0;"@count stemmen"
default;;"@count webforms using conditionals updated to the new conditional system.";nl;0;"@count formulieren met voorwaarden bijgewerkt naar het nieuwe voorwaardensysteem."
default;;"@current of @max";nl;0;"@current van @max"
default;;"@date !state  by !author";nl;0;"@date !state door !author"
default;;"@field field is required for section @section.";nl;0;"@field veld invullen bij onderschrift @section."
default;;"@format or valid date";nl;0;"@format of geldige datum"
default;;"@name form";nl;0;@name-formulier
default;;"@range from @count result";nl;0;"@range van @count resultaat"
default;;"@range from @count results";fr;0;"@range des résultats de @count"
default;;"@range from @count results";nl;0;"@range van @count resultaten"
default;;"@section section image: @image";nl;0;"@section afbeelding: @image"
default;;"@section section text: @text";nl;0;"@section tekst: @text"
default;;"@section section url type: @type";nl;0;"@section URL type: @type"
default;;"@serial (draft)";nl;0;"@serial (concept)"
default;;"@site is currently under maintenance. We should be back shortly. Thank you for your patience.";de;0;"Wir führen auf @site momentan Wartungsarbeiten durch und sollten bald wieder erreichbar sein. Vielen Dank für Ihre Geduld."
default;;"@site is currently under maintenance. We should be back shortly. Thank you for your patience.";fr;0;"@site est en cours de maintenance. Nous serons de retour très bientôt. Merci de votre patience."
default;;"@site is currently under maintenance. We should be back shortly. Thank you for your patience.";nl;0;"Over enkele minuten is de website weer online. Bedankt voor je geduld."
default;;"@size KB";nl;0;"@size kB"
default;;"@total results total.";nl;0;"@total inzendingen in totaal."
default;;"@type %title has been created.";nl;0;"@type %title werd aangemaakt."
default;;"@type %title has been updated.";nl;0;"@type %title is aangepast."
default;;"@type layout";nl;0;"@type lay-out"
default;;"@type_name information modal dialog";nl;0;"@type_name aanmaken"
default;;"@what has been updated.";nl;0;"@what is geüpdatet."
default;;"A <em>poll</em> is a question with a set of possible responses. A <em>poll</em>, once created, automatically provides a simple running count of the number of votes received for each response.";nl;0;"Een <em>enquête</em> is een vraag met een reeks van mogelijke antwoorden. Een enquête zorgt automatisch voor een eenvoudige lopende telling van het aantal stemmen voor elk antwoord."
default;;"A Webform component could not be saved because a timeout occurred while trying to acquire a lock for the node. Details: <pre>@component</pre>";nl;0;"Een Webform-component kon niet worden opgeslagen omdat er een timeout heeft plaats gevonden tijdens het verkrijgen van een 'lock' op de node. Details: <pre>@component</pre>"
default;;"A carousel should consist of at least one slide.";nl;0;"Een carrousel moet minstens één afbeelding bevatten."
default;;"A comment has been added to a node I'm responsible for";fr;0;"Un commentaire a été ajouté à une remarque duquel je suis responsable"
default;;"A comment has been added to a node I'm responsible for";nl;0;"Een reactie is toegevoegd aan een pagina waar ik verantwoordelijk voor ben"
default;;"A configuration entity used by the Paddle Pane Collection module.";nl;0;"Een instelling welke gebruikt wordt door de pane collection module."
default;;"A field which is not visible to the user, but is recorded with the submission.";nl;0;"Een veld aan dat niet zichtbaar is voor de gebruiker maar dat wel in het formulier wordt opgenomen."
default;;"A file readable by Microsoft Excel.";nl;0;"Een bestand dat leesbaar is in Microsoft Excel."
default;;"A file readable by older versions of Microsoft Excel.";nl;0;"Een bestand dat geopend kan worden door oudere versies van Microsoft Excel."
default;;"A flexible, recolorable theme with many regions.";de;0;"Ein flexibles, einfärbbares Theme mit vielen Regionen."
default;;"A flexible, recolorable theme with many regions.";fr;0;"Un thème flexible, recoloriable, à plusieurs régions."
default;;"A flexible, recolorable theme with many regions.";nl;0;"Een flexibel theme met veel gebieden en aanpasbare kleuren."
default;;"A large text area that allows for multiple lines of input.";fr;0;"Une grande zone de texte qui permet de multiple lignes d'entrées."
default;;"A large text area that allows for multiple lines of input.";nl;0;"Een groot tekstvak waarin meerdere regels tekst kunnen worden ingevoerd."
default;;"A minimum and maximum value are required if displaying as a select.";fr;0;"Une valeur minimale et maximale sont obligatoires en cas d'affichage comme séléction."
default;;"A minimum and maximum value are required if displaying as a select.";nl;0;"Minimum en maximum zijn verplicht bij het weergeven als selectielijst."
default;;"A numeric input field (either as textfield or select list).";fr;0;"Un champ numérique d'entrée (champ de texte ou liste de sélection)"
default;;"A numeric input field (either as textfield or select list).";nl;0;"Een numeriek invoerveld (als tekstvak of selectielijst)."
default;;"A page I am responsible for been modified";fr;0;"Une page dont je suis responsable à été modifiée"
default;;"A page I am responsible for been modified";nl;0;"Een pagina waar ik verantwoordelijk voor ben is gewijzigd"
default;;"A page is assigned to me";fr;0;"Une page m'est assignée"
default;;"A page is assigned to me";nl;0;"Een pagina is toegewezen aan mij"
default;;"A plain text file delimited by commas, tabs, or other characters.";nl;0;"Een standaard tekstbestand, gescheiden door komma's, tabs of andere karakters."
default;;"A short description of the field used as help for the user when he/she uses the form.";nl;0;"Een korte beschrijving van het veld bedoeld om de gebruiker op weg te helpen."
default;;"A special textfield that accepts e-mail addresses.";nl;0;"Een speciaal tekstveld dat e-mailadressen accepteert."
default;;"A translation of %title in %language already exists, a new %type will be created instead of a translation.";nl;0;"Een vertaling van %title in %language bestaat al, een nieuwe %type zal gecreëerd worden in plaats van een vertaling."
default;;"A valid URL is required for custom redirection.";nl;0;"Een geldige URL is benodigd voor aangepaste doorschakeling."
default;;"A valid e-mail address. All e-mails from the system will be sent to this address. The e-mail address is not made public and will only be used if you wish to receive a new password or wish to receive certain news or notifications by e-mail.";nl;0;"Een geldig e-mailadres."
default;;"A welcome message with further instructions has been e-mailed to the new user <a href=""@url"">%name</a>.";nl;0;"Een welkomsboodschap met verdere instructies is gezonden naar de nieuwe gebruiker <a href=""@url"">%name</a>."
default;;"Accepts a time in any <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">GNU Date Input Format</a>. Strings such as now, +2 hours, and 10:30pm are all valid.";fr;0;"Accepte toute heure sous <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html""> n'impote quel format GNU Date Input</a>. Des chaînes telles que , +2 heures et 22h30 sont toutes valides maintenant."
default;;"Accepts a time in any <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">GNU Date Input Format</a>. Strings such as now, +2 hours, and 10:30pm are all valid.";nl;0;"Accepteert een tijdnotatie volgens het <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">GNU-datum-formaat</a>. Invoer zoals now, +2 hours, en 10:30pm wordt geaccepteerd."
default;;"Accepts any date in any <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">GNU Date Input Format</a>.";fr;0;"Accepte toute date dans n'importe quel <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">format GNU Date Input</a>."
default;;"Accepts any date in any <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">GNU Date Input Format</a>.";nl;0;"Accepteert iedere datum in elk <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">GNU Date Input Format</a>."
default;;"Accepts any date in any <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">GNU Date Input Format</a>. Strings such as today, +2 months, and Dec 9 2004 are all valid.";fr;0;"Accepte toute date dans n'importe quel <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html""> format GNU Date Input</a>. Des chaînes telles que, +2 heures et 22h30 sont valides maintenant."
default;;"Accepts any date in any <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">GNU Date Input Format</a>. Strings such as today, +2 months, and Dec 9 2004 are all valid.";nl;0;"Voer een datum in volgens het <a href=""http://www.gnu.org/software/tar/manual/html_chapter/Date-input-formats.html"">GNU-datum-formaat</a>. Invoer zoals today, +2 months, en Dec 9 2004 wordt geaccepteerd."
default;;"Access all webform results";fr;0;"Accéder à tous les résultats du formulaire web"
default;;"Access all webform results";nl;0;"Toegang tot alle Webform-resultaten"
default;;"Access own webform results";fr;0;"Accéder à vos propres résultats du formulaire web"
default;;"Access own webform results";nl;0;"Toegang tot de eigen resultaten van het webformulier"
default;;"Access own webform submissions";fr;0;"Accéder à vos propres contributions duformulaire web"
default;;"Access own webform submissions";nl;0;"Toegang tot eigen inzendingen via het webformulier"
default;;"Action strategies";nl;0;"Types van strategieën"
default;;Actions;fr;0;Actions
default;;Actions;nl;0;Acties
default;;"Actions to take when this context is active.";nl;0;"Acties wanneer deze context actief is."
default;;Activate;fr;0;Activer
default;;Activate;nl;0;Activeren
default;;"Activate paddlet";fr;0;"Activer le paddlet"
default;;"Activate paddlet";nl;0;"Paddlet activeren"
default;;Active;fr;0;Active
default;;Active;nl;0;Actief
default;;"Active Paddlets";fr;0;"Paddlets actives"
default;;"Active Paddlets";nl;0;"Geïnstalleerde paddlets"
default;;"Active homepage";fr;0;"Page d'acceuil active"
default;;"Active homepage";nl;0;"Actieve homepage"
default;;"Active theme";fr;0;"Thème actif"
default;;"Active theme";nl;0;"Actief theme"
default;;Add;fr;0;Ajouter
default;;Add;nl;0;"Voeg toe"
default;;"Add Company page";fr;0;"Ajouter une page d'entreprise"
default;;"Add Company page";nl;0;"Bedrijfspagina toevoegen"
default;;"Add EBL page";fr;0;"Ajouter une page EBL"
default;;"Add EBL page";nl;0;"Voeg EBL pagina toe"
default;;"Add Eenvoudige contactformulierpagina";nl;0;"Voeg contactformulier toe"
default;;"Add Formbuilder";fr;0;"Ajouter un constructeur de formulaires"
default;;"Add Formbuilder";nl;0;"Webformulieren toevoegen"
default;;"Add Image";fr;0;Image
default;;"Add Image";nl;0;Afbeelding
default;;"Add Maps Page";nl;0;"Kaartpagina toevoegen"
default;;"Add Newsletter";fr;0;"Ajouter un bulletin"
default;;"Add Newsletter";nl;0;"Nieuwsbrief toevoegen"
default;;"Add Organizational unit";fr;0;"Une unité organisationnelle"
default;;"Add Organizational unit";nl;0;Organisatiefiche
default;;"Add Poll";fr;0;Sondage
default;;"Add Poll";nl;0;Enquête
default;;"Add Quiz page";fr;0;"Ajouter une page de quiz"
default;;"Add Quiz page";nl;0;"Quiz pagina toevoegen"
default;;"Add Quizpagina";fr;0;"Ajouter une page de quiz"
default;;"Add Quizpagina";nl;0;"Quizpagina toevoegen"
default;;"Add RSS feed";fr;0;"Ajouter un flux RSS"
default;;"Add RSS feed";nl;0;"Inkomende RSS feed toevoegen"
default;;"Add a Cultuurnet agenda search form.";nl;0;"Voeg een zoekveld toe."
default;;"Add a calendar.";fr;0;"Ajouter un calendrier."
default;;"Add a calendar.";nl;0;"Voeg een kalender toe."
default;;"Add a carousel.";fr;0;"Ajouter un carrousel."
default;;"Add a carousel.";nl;0;"Carrousel toevoegen"
default;;"Add a condition";nl;0;"Voeg een conditie toe"
default;;"Add a custom page layout";nl;0;"Voeg een flexibele lay-out toe"
default;;"Add a download list.";fr;0;"Ajouter une liste de téléchargement."
default;;"Add a download list.";nl;0;"Download lijst toevoegen"
default;;"Add a field";fr;0;"Ajouter un champ"
default;;"Add a field";nl;0;"Veld toevoegen"
default;;"Add a list of Outgoing RSS feeds.";fr;0;"Ajouter une liste de RSS feeds sortants."
default;;"Add a list of Outgoing RSS feeds.";nl;0;"RSS feeds lijst toevoegen"
default;;"Add a new <em>calendar item</em> to be shown in calendar views.";fr;0;"Ajouter un nouveau <em>élément du calendrier </em> à montrer dans les vues du calendrier."
default;;"Add a new <em>calendar item</em> to be shown in calendar views.";nl;0;"Voeg een nieuw <em>kalenderitem</em> toe."
default;;"Add a new condition: ";fr;0;"Ajouter une nouvelle condition:"
default;;"Add a new condition: ";nl;0;"Een nieuwe voorwaarde toevoegen: "
default;;"Add a new menu structure.";fr;0;"Ajouter une nouvelle structure de menu."
default;;"Add a new menu structure.";nl;0;"Een nieuwe navigatiestructuur toevoegen."
default;;"Add a pane collection.";fr;0;"Ajouter une collection de panneaux."
default;;"Add a pane collection.";nl;0;"Voeg een pane collection toe."
default;;"Add a photo album";fr;0;"Album photo"
default;;"Add a photo album";nl;0;"Voeg een fotoalbum toe"
default;;"Add a photo album.";fr;0;"Ajouter un album photo"
default;;"Add a photo album.";nl;0;"Voeg een fotoalbum toe"
default;;"Add a poll";fr;0;Sondage
default;;"Add a poll";nl;0;Enquête
default;;"Add a poll.";fr;0;"Ajouter un sondage."
default;;"Add a poll.";nl;0;"Voeg een enquête toe."
default;;"Add a reaction";nl;0;"Voeg een actie toe"
default;;"Add a signup form.";fr;0;"Ajouter un formulaire d'inscription."
default;;"Add a signup form.";nl;0;"Inschrijvingsformulier toevoegen"
default;;"Add a simple contact form.";fr;0;"Ajouter un formulaire de contact simple."
default;;"Add a simple contact form.";nl;0;"Voeg een contactformulier toe."
default;;"Add a social media identity.";fr;0;"Ajouter une identité de médias sociaux."
default;;"Add a social media identity.";nl;0;"Sociale identiteit toevoegen"
default;;"Add an UiTdatabank pane.";nl;0;"Voeg een UiTagenda pane toe."
default;;"Add an advanced search field";fr;0;"Recherche avancé"
default;;"Add an advanced search field";nl;0;Zoekveld
default;;"Add an advanced search field.";fr;0;"Ajouter un champ de recherche avancé"
default;;"Add an advanced search field.";nl;0;"Voeg een zoekveld toe"
default;;"Add an embed widget.";fr;0;"Ajouter un widget d'intégration"
default;;"Add an embed widget.";nl;0;"Embed widget toevoegen"
default;;"Add an incoming RSS list.";fr;0;"Ajouter une liste RSS entrante."
default;;"Add an incoming RSS list.";nl;0;"Inkomende RSS lijst toevoegen."
default;;"Add an maps search field";fr;0;"Champ de recherche de cartes"
default;;"Add an maps search field";nl;0;"Kaartpagina zoekveld"
default;;"Add an maps search field.";fr;0;"Ajouter un champ de recherche de cartes"
default;;"Add an maps search field.";nl;0;"Voeg een zoekveld van een kaartpagina toe."
default;;"Add an opening hours calendar.";fr;0;"Ajouter un calendrier des heures d'ouverture"
default;;"Add an opening hours calendar.";nl;0;"Voeg een openingsurenset toe."
default;;"Add analysis components";fr;0;"Ajouter des éléments d'analyse"
default;;"Add analysis components";nl;0;"Analyse-componenten toevoegen"
default;;"Add another codex";fr;0;"Ajouter un autre codex"
default;;"Add another codex";nl;0;"Voeg een regelgeving toe"
default;;"Add another item";nl;0;"Set  toevoegen"
default;;"Add answer";fr;0;"Ajouter une réponse"
default;;"Add answer";nl;0;"Antwoord toevoegen"
default;;"Add codices";nl;0;"Regelgeving uit Codex Vlaanderen toevoegen"
default;;"Add comment";fr;0;"Ajouter un commentaire"
default;;"Add comment";nl;0;"Voeg een reactie toe"
default;;"Add content";fr;0;"Ajouter du contenu"
default;;"Add content";nl;0;"Inhoud toevoegen"
default;;"Add files";fr;0;"Ajouter des fichiers"
default;;"Add files";nl;0;"Bestanden toevoegen"
default;;"Add filter by authors";fr;0;"Ajouter un filtre par auteurs"
default;;"Add filter by authors";nl;0;"Voeg filter door auteurs toe"
default;;"Add filter by keyword";nl;0;"Filter toevoegen op trefwoord"
default;;"Add filter by publication year";fr;0;"Ajouter un filtre par année de publication"
default;;"Add filter by publication year";nl;0;"Filter toevoegen per publicatiejaar"
default;;"Add free content.";fr;0;"Ajouter du contenu libre"
default;;"Add free content.";nl;0;"Vrije content toevoegen."
default;;"Add glossary definition";fr;0;"Ajouter une définition du glossaire"
default;;"Add glossary definition";nl;0;"Voeg definitie toe"
default;;"Add image";fr;0;Image
default;;"Add image";nl;0;Afbeelding
default;;"Add image files.";fr;0;"Ajouter des fichiers d'image"
default;;"Add image files.";nl;0;"Voeg beeldbestanden toe."
default;;"Add image.";fr;0;"Ajouter une image."
default;;"Add image.";nl;0;"Een afbeelding toevoegen."
default;;"Add landing page";fr;0;"Ajouter une page de destination"
default;;"Add landing page";nl;0;"Overzichtpagina toevoegen"
default;;"Add listing";fr;0;"Ajouter une liste"
default;;"Add listing";nl;0;Lijst
default;;"Add listing.";fr;0;"Ajouter une liste."
default;;"Add listing.";nl;0;"Een lijst toevoegen."
default;;"Add lowercase letters";fr;0;"Ajouter des lettres en minuscule"
default;;"Add lowercase letters";nl;0;"Voeg kleine letters toe"
default;;"Add media";fr;0;"Ajouter des média"
default;;"Add media";nl;0;"Media toevoegen"
default;;"Add menu link";fr;0;"Ajouter lien de menu"
default;;"Add menu link";nl;0;"Creëer menu link"
default;;"Add new @atom_type";fr;0;"Ajouter un nouveau @atom_type"
default;;"Add new @atom_type";nl;0;"Voeg nieuwe @atom_type toe"
default;;"Add new @type";fr;0;"Ajouter un nouveau @type"
default;;"Add new @type";nl;0;"Voeg een nieuwe @type toe"
default;;"Add new asset";fr;0;"Ajouter nouveau atout"
default;;"Add new asset";nl;0;"Bestand toevoegen"
default;;"Add new comment";fr;0;"Ajouter un nouveau commentaire"
default;;"Add new comment";nl;0;"Voeg een nieuwe reactie toe"
default;;"Add new conditional";fr;0;"Ajouter une nouvelle conditionnelle"
default;;"Add new conditional";nl;0;"Nieuwe voorwaarde toevoegen"
default;;"Add new content";fr;0;" Ajouter un nouveau contenu	"
default;;"Add new content";nl;0;"Voeg nieuwe content toe"
default;;"Add new landing page";fr;0;"Ajouter une nouvelle page de destination"
default;;"Add new landing page";nl;0;"Voeg een nieuwe overzichtpagina toe"
default;;"Add new media";fr;0;"Ajouter de nouveaux médias"
default;;"Add new media";nl;0;"Bestand toevoegen"
default;;"Add new menu structure";fr;0;"Ajouter une nouvelle  structure de menu"
default;;"Add new menu structure";nl;0;Navigatiestructuur
default;;"Add new pane";fr;0;"Ajouter un nouveau volet"
default;;"Add new pane";nl;0;"Nieuwe pane toevoegen"
default;;"Add news content";fr;0;"Contenu de news"
default;;"Add news content";nl;0;"Voeg nieuws toe"
default;;"Add news content.";fr;0;"Ajouter du contenu de news"
default;;"Add news content.";nl;0;"Voeg nieuws toe"
default;;"Add numbers";fr;0;"Ajouter des nombres"
default;;"Add numbers";nl;0;"Voeg nummers toe"
default;;"Add opening hours set";nl;0;"Voeg openingsuren toe"
default;;"Add organizational unit";fr;0;"Unité organisationnelle"
default;;"Add organizational unit";nl;0;Organisatiefiche
default;;"Add organizational unit.";fr;0;"Ajouter une unité organisationnelle."
default;;"Add organizational unit.";nl;0;"Een organisatiefiche toevoegen."
default;;"Add page";nl;0;"Voeg pagina toe"
default;;"Add page content";fr;0;"Contenu d'une page"
default;;"Add page content";nl;0;"Pagina (inhoud)"
default;;"Add page content.";fr;0;"Ajouter le contenu d'une page."
default;;"Add page content.";nl;0;"Paginacontent toevoegen."
default;;"Add pane collection";nl;0;"Voeg pane collection toe"
default;;"Add panes of your choice to the footer.";nl;0;"Voeg panes naar keuze toe in de footer."
default;;"Add punctuation";fr;0;"Ajouter une ponctuation"
default;;"Add punctuation";nl;0;"Voeg leestekens toe"
default;;"Add question";fr;0;"Ajouter une question"
default;;"Add question";nl;0;"Vraag toevoegen"
default;;"Add role";nl;0;"Voeg rol toe"
default;;"Add roles";nl;0;"Voeg rollen toe"
default;;"Add row";fr;0;"Ajouter un rang"
default;;"Add row";nl;0;Toevoegen
default;;"Add rule";fr;0;"Ajouter un règle"
default;;"Add rule";nl;0;"Voeg regel toe"
default;;"Add simple contact page";fr;0;"Ajouter une page de contact simple"
